1474063775 26 0 0 0
1474064462 26 0 0 8
1474067096 28 0 0 8
1474067177 28 0 0 8
1474068798 28 4376 0 8
1474069335 28 4376 0 8
1474070096 80 4376 0 8
1474072156 92 4376 0 8
1474074852 140 4376 0 8
1474074901 140 4376 74 8
1474082947 188 4376 74 8
1474084092 247 4376 74 8
1474096415 247 4580 74 8
1474097276 247 4580 74 8
1474098070 247 4731 74 8
1474098236 263 4731 74 8
1474099800 263 4738 74 8
1474100184 263 4738 74 8
1474100526 266 4738 74 8
1474100664 266 4738 74 8
1474101133 284 4738 74 8
1474101718 284 4750 74 8
1474102825 292 4750 74 8
1474102957 292 4753 74 8
1474104225 295 4753 74 8
1474104290 295 4753 74 8
1474105254 295 4756 74 8
1474105530 295 4756 74 8
1474108171 313 4756 74 8
1474109684 313 4756 117 8
1474110213 313 4756 130 8
1474111269 313 4794 130 8
1474112216 332 4794 130 8
1474113200 356 4794 130 8
1474117902 358 4794 130 8
1474124108 358 4835 130 8
1474127845 358 4879 130 8
1474132131 358 4880 130 8
1474132258 358 4880 281 8
1474132263 358 4880 281 8
1474133470 433 4880 281 8
1474134524 491 4880 281 8
1474135071 498 4880 281 8
1474136414 516 4880 281 8
1474141294 557 4880 281 8
1474142366 557 4880 2626 8
1474142824 557 4880 2626 8
1474143333 557 4880 2633 8
1474144544 582 4880 2633 8
1474144574 582 4880 2633 8
1474145818 598 4880 2633 8
1474147608 604 4880 2633 8
1474149017 623 4880 2633 8
1474149973 625 4880 2633 8
1474150608 625 4930 2633 8
1474150901 625 4930 2675 8
1474151867 639 4930 2675 8
1474151884 639 4930 2675 8
1474154469 639 4930 2687 8
1474154571 639 4930 2687 8
1474159047 702 4930 2687 8
1474159219 711 4930 2687 8
1474159914 711 4930 2778 8
1474159931 711 4930 2778 8
1474161037 713 4930 2778 8
1474161048 713 4930 2778 8
1474164545 713 4995 2778 8
1474168459 713 4995 2823 8
1474168543 713 4995 2823 8
1474181756 713 5313 2823 8
