1 83
2 26
3 7
4 7
5 3
6 8
7 39
8 463
9 1579
10 2801
11 3340
12 1949
13 2925
14 3323
15 3510
16 3408
17 3436
18 1965
19 569
20 217
21 202
22 201
23 240
24 196
